Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Hashtag Sweets],Price [Hashtag Sweets],In stock [Hashtag Sweets],Low stock [Hashtag Sweets]
m&m-chocolate,10149,M&M chocolate,Chocolate & Choco Snacks,,N,,,,,,,14.90,,,,N,Y,14.90,,
m&m-crispy-,10150,M&M crispy,Gummies & Candy,,N,,,,,,,1.00,,,,N,Y,1.00,,
m&m-minis,10151,M&M minis,Chocolate & Choco Snacks,,N,,,,,,,3.00,,,,N,Y,3.00,,
m&m-party-box,10316,M&M party box,Chocolate & Choco Snacks,,N,,,,,,,0.00,,,,N,Y,65.00,,
macaroon-candy,10153,Macaroon Candy,Candy Toys (YLF),,N,,,,,,,3.00,,,,N,Y,4.90,,
machine-car,10154,Machine car,Toys & Games,,N,,,,,,,0.00,,,,N,Y,15.00,,
magic-pen-candy,10155,Magic pen candy,Gummies & Candy,,N,,,,,,,2.00,,,,N,Y,2.00,,
magical-lock,10152,MAGICAL LOCK,Candy Toys (YLF),,N,,,,,,,6.00,,,,N,Y,10.90,,
mallow-lollipop,10156,Mallow Lollipop,Lollipops,,N,,,,,,,3.00,,,,N,Y,4.90,,
marvel-head,10157,Marvel Head,Candy Toys (YLF),,N,,,,,,,5.50,,,,N,Y,8.90,,
medium,10158,Medium,Balloons & Party,,N,,,,,,,2.50,,,,N,Y,7.90,,
meiji-strawberry-lucky-stick,10086,Meiji Strawberry Lucky Stick,Gummies & Candy,,N,,,,,,,0.00,,,,N,Y,3.00,,
melody,10159,Melody,Keychains & Accessories,,N,,,,,,,0.00,,,,N,Y,15.00,,
melody-bags,10160,Melody bags,Bags & Wallets,,N,,,,,,,0.00,,,,N,Y,15.00,,
melody-book,10332,Melody book,Stationery,,N,,,,,,,0.00,2123456789386,,,N,Y,8.00,,
my-melody-cake-,10170,Melody Cake,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,129.00,,
melody-sticker,10161,Melody sticker,Stickers & Tokens,,N,,,,,,,1.00,,,,N,Y,2.50,,
merci-chocolate,10162,Merci chocolate,Chocolate & Choco Snacks,,N,,,,,,,49.00,,,,N,Y,49.00,,
mermaid-cake,10294,mermaid cake,Cartoon Cakes,,N,,,,,,,65.00,,,,N,Y,99.00,,
milk-tablet-candy,10317,Milk tablet candy,Gummies & Candy,,N,,,,,,,0.00,,,,Y,Y,3.90,30.000,0.000
mini-color-pen,10164,Mini color pen,Stationery,,N,,,,,,,2.50,,,,Y,Y,5.00,95.000,
mini-water-game,10371,Mini water game,Toys & Games,,N,,,,,,,0.00,,,,Y,Y,15.00,16.000,0.000
minion-banana-spray,10166,Minion Banana Spray,Candy Toys (YLF),,N,,,,,,,3.50,,,,N,Y,6.90,,
minion-candy,10167,Minion Candy,Candy Toys (YLF),,N,,,,,,,1.50,,,,N,Y,2.90,,
mirror,10295,mirror,Stationery,,N,,,,,,,5.00,,,,Y,Y,5.00,68.000,
mix-fruit-table-candy,10168,Mix Fruit Table Candy,Gummies & Candy,,N,,,,,,,1.00,,,,N,Y,2.00,,
mooo-candy,10169,Mooo Candy,Candy Toys (YLF),,N,,,,,,,2.00,,,,N,Y,3.90,,
my-little-pony,10171,My little pony,Cartoon Cakes,,N,,,,,,,99.00,,,,N,Y,99.00,,
neck-strap-student-,10172,Neck Strap Student,Keychains & Accessories,,N,,,,,,,4.00,,,,N,Y,9.00,,
necklace-chain,10349,Necklace chain,Jewellery & Accessories,,N,,,,,,,0.00,,,,N,Y,19.00,,
necklace-ramadan,10052,Necklace Ramadan,Jewellery & Accessories,,N,,,,,,,0.00,,,,Y,Y,20.00,73.000,
necklace-set,10173,Necklace set,Stationery,,N,,,,,,,0.00,,,,N,Y,15.00,,
necklaces-chain,10347,Necklaces chain,Jewellery & Accessories,,N,,,,,,,0.00,,,,Y,Y,19.00,101.000,
num-ballon-party-,10174,Num Ballon Party,Balloons & Party,,N,,,,,,,0.00,,,,N,Y,3.90,,
